# Flow.40ms,Press.40ms,Crc16
5.320000000000000284e-01,4.400000000000000355e+00,9.568000000000000000e+03
5.140000000000000124e-01,4.419999999999999929e+00,9.568000000000000000e+03
4.879999999999999893e-01,4.320000000000000284e+00,9.568000000000000000e+03
4.859999999999999876e-01,4.320000000000000284e+00,9.568000000000000000e+03
4.799999999999999822e-01,4.259999999999999787e+00,9.568000000000000000e+03
4.799999999999999822e-01,4.320000000000000284e+00,9.568000000000000000e+03
4.660000000000000253e-01,4.280000000000000249e+00,9.568000000000000000e+03
4.520000000000000129e-01,4.339999999999999858e+00,9.568000000000000000e+03
4.319999999999999951e-01,4.320000000000000284e+00,9.568000000000000000e+03
4.080000000000000293e-01,4.299999999999999822e+00,9.568000000000000000e+03
3.800000000000000044e-01,4.240000000000000213e+00,9.568000000000000000e+03
3.659999999999999920e-01,4.200000000000000178e+00,9.568000000000000000e+03
3.619999999999999885e-01,4.160000000000000142e+00,9.568000000000000000e+03
3.480000000000000315e-01,4.219999999999999751e+00,9.568000000000000000e+03
3.260000000000000120e-01,4.160000000000000142e+00,9.568000000000000000e+03
3.140000000000000013e-01,4.219999999999999751e+00,9.568000000000000000e+03
2.800000000000000266e-01,4.280000000000000249e+00,9.568000000000000000e+03
2.099999999999999922e-01,4.360000000000000320e+00,9.568000000000000000e+03
7.799999999999999989e-02,4.379999999999999893e+00,9.568000000000000000e+03
-1.100000000000000006e-01,4.099999999999999645e+00,9.568000000000000000e+03
-3.200000000000000067e-01,3.620000000000000107e+00,9.568000000000000000e+03
-4.120000000000000329e-01,3.379999999999999893e+00,9.568000000000000000e+03
-4.540000000000000147e-01,3.320000000000000284e+00,9.568000000000000000e+03
-3.920000000000000151e-01,3.560000000000000053e+00,9.568000000000000000e+03
-4.080000000000000293e-01,3.780000000000000249e+00,9.568000000000000000e+03
-5.020000000000000018e-01,3.720000000000000195e+00,9.568000000000000000e+03
-4.520000000000000129e-01,3.820000000000000284e+00,9.568000000000000000e+03
-3.280000000000000138e-01,3.919999999999999929e+00,9.568000000000000000e+03
-2.680000000000000160e-01,4.120000000000000107e+00,9.568000000000000000e+03
-2.119999999999999940e-01,4.179999999999999716e+00,9.568000000000000000e+03
-1.759999999999999898e-01,4.240000000000000213e+00,9.568000000000000000e+03
-1.700000000000000122e-01,4.200000000000000178e+00,9.568000000000000000e+03
-1.680000000000000104e-01,4.179999999999999716e+00,9.568000000000000000e+03
-1.759999999999999898e-01,4.000000000000000000e+00,9.568000000000000000e+03
-1.280000000000000027e-01,4.060000000000000497e+00,9.568000000000000000e+03
-9.199999999999999845e-02,4.080000000000000071e+00,9.568000000000000000e+03
-1.000000000000000056e-01,4.240000000000000213e+00,9.568000000000000000e+03
-2.340000000000000135e-01,4.120000000000000107e+00,9.568000000000000000e+03
-4.620000000000000218e-01,3.800000000000000266e+00,9.568000000000000000e+03
-5.360000000000000320e-01,3.540000000000000036e+00,9.568000000000000000e+03
-4.620000000000000218e-01,3.520000000000000018e+00,9.568000000000000000e+03
-4.080000000000000293e-01,3.820000000000000284e+00,9.568000000000000000e+03
-5.040000000000000036e-01,3.780000000000000249e+00,9.568000000000000000e+03
-4.520000000000000129e-01,3.800000000000000266e+00,9.568000000000000000e+03
-3.920000000000000151e-01,3.959999999999999964e+00,9.568000000000000000e+03
-3.220000000000000084e-01,4.120000000000000107e+00,9.568000000000000000e+03
-2.899999999999999800e-01,4.139999999999999680e+00,9.568000000000000000e+03
-2.620000000000000107e-01,4.139999999999999680e+00,9.568000000000000000e+03
-2.020000000000000129e-01,4.179999999999999716e+00,9.568000000000000000e+03
-1.819999999999999951e-01,4.160000000000000142e+00,9.568000000000000000e+03
-1.440000000000000169e-01,4.020000000000000462e+00,9.568000000000000000e+03
