time,hr,spo2,t,nibpsys,nibpdia,nibpmean,nibpdiff
561144627,0,97.88,20.5,13320,8352,10241,4968
561144627,0,92.9,20.5,13320,8352,10241,4968
561144627,0,97.9,20.5,13320,8352,10241,4968
561144627,0,98.04,20.5,13320,8352,10241,4968
561144627,0,97.81,20.5,13320,8352,10241,4968
561144627,0,95.39,20.5,13320,8352,10241,4968
561144627,0,92.9,20.5,13320,8352,10241,4968
561144627,0,97.9,20.5,13320,8352,10241,4968
561144627,0,92.9,20.5,13320,8352,10241,4968
577921843,0,95.21,20.5,16160,7228,10241,8932
577921843,0,97.89,20.5,13344,7240,9729,6104
577921843,0,97.9,20.5,13344,7240,9729,6104
577921843,0,98.02,20.5,13344,7240,9729,6104
577921843,0,97.93,20.5,14324,6784,9473,7540
577921843,0,97.91,20.5,13344,7240,9729,6104
577921843,0,97.89,20.5,14324,6784,9473,7540
577921843,0,95.19,20.5,16160,7228,10241,8932
577921843,0,97.86,20.5,14324,6784,9473,7540
577921843,0,97.98,20.5,13632,7996,10241,5636
577921843,0,97.81,20.5,16160,7228,10241,8932
577921843,0,95.28,20.5,16160,7228,10241,8932
577921843,0,98.0,20.5,13344,7240,9729,6104
577921843,0,97.85,20.5,13344,7240,9729,6104
577921843,0,95.23,20.5,16160,7228,10241,8932
577921843,0,98.03,20.5,13344,7240,9729,6104
577921843,0,97.83,20.5,13344,7240,9729,6104
577921843,0,97.81,20.5,13320,8352,10241,4968
577921843,0,97.91,20.5,14324,6784,9473,7540
577921843,0,97.95,20.5,13632,7996,10241,5636
577921843,0,97.8,20.5,13320,8352,10241,4968
577921843,0,97.87,20.5,13344,7240,9729,6104
577921843,0,97.99,20.5,13344,7240,9729,6104
577921843,0,97.82,20.5,16160,7228,10241,8932
577921843,0,97.84,20.5,16160,7228,10241,8932
577921843,0,97.9,20.5,13632,7996,10241,5636
577921843,0,97.92,20.5,13344,7240,9729,6104
577921843,0,97.99,20.5,13632,7996,10241,5636
577921843,0,95.25,20.5,16160,7228,10241,8932
577921843,0,97.88,20.5,13632,7996,10241,5636
577921843,0,97.83,20.5,16160,7228,10241,8932
577921843,0,97.9,20.5,14324,6784,9473,7540
577921843,0,97.9,20.5,13344,7240,9729,6104
577921843,0,97.97,20.5,13632,7996,10241,5636
577921843,0,97.87,20.5,13632,7996,10241,5636
577921843,0,97.84,20.5,13632,7996,10241,5636
577921843,0,97.91,20.5,14324,6784,9473,7540
577921843,0,98.0,20.5,13344,7240,9729,6104
577921843,0,97.98,20.5,13344,7240,9729,6104
