# MaskPress.2s,Press.2s,EprPress.2s,Leak.2s,RespRate.2s,TidVol.2s,MinVent.2s,Snore.2s,FlowLim.2s,Crc16
3.899999999999999911e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,3.820000000000000284e+01,2.000000000000000111e-01,7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,3.860000000000000142e+01,2.000000000000000111e-01,7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,3.860000000000000142e+01,2.000000000000000111e-01,7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.860000000000000142e+01,2.000000000000000111e-01,7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.099999999999999645e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.380000000000000071e+01,4.799999999999999822e-01,1.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.340000000000000213e+01,5.000000000000000000e-01,1.175000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.540000000000000213e+01,5.000000000000000000e-01,1.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.220000000000000284e+01,5.000000000000000000e-01,1.125000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.080000000000000071e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.220000000000000284e+01,5.000000000000000000e-01,1.125000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.780000000000000071e+01,5.999999999999999778e-01,1.062500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.780000000000000071e+01,5.999999999999999778e-01,1.062500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.140000000000000213e+01,4.000000000000000222e-01,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.080000000000000071e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.140000000000000213e+01,4.000000000000000222e-01,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,1.880000000000000071e+01,4.400000000000000022e-01,8.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,1.880000000000000071e+01,4.400000000000000022e-01,8.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,1.580000000000000071e+01,5.600000000000000533e-01,8.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000071e+01,5.600000000000000533e-01,8.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.600000000000000533e-01,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.600000000000000533e-01,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.600000000000000533e-01,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000071e+01,5.600000000000000533e-01,7.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000071e+01,5.799999999999999600e-01,8.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000071e+01,5.799999999999999600e-01,8.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000071e+01,5.799999999999999600e-01,8.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691300000000000000e+04
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,5.200000000000000178e-01,7.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,5.200000000000000178e-01,7.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.360000000000000142e+01,5.000000000000000000e-01,6.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.360000000000000142e+01,5.000000000000000000e-01,6.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,4.799999999999999822e-01,6.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,4.799999999999999822e-01,6.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000036e+01,4.600000000000000200e-01,6.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000036e+01,4.600000000000000200e-01,6.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000036e+01,4.600000000000000200e-01,6.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000036e+01,4.199999999999999845e-01,5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000071e+01,4.199999999999999845e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.660000000000000142e+01,3.599999999999999867e-01,5.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000284e+01,2.800000000000000266e-01,5.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000284e+01,2.800000000000000266e-01,5.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,2.999999999999999889e-01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,2.999999999999999889e-01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,3.400000000000000244e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,3.400000000000000244e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,3.400000000000000244e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,3.800000000000000044e-01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
